question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,difficulty
Which sport features the terms 'birdie' and 'par'?,Golf,Tennis,Cricket,Rugby,2
Which athlete set a 100m world record at the 2009 World Championships in Berlin?,Usain Bolt,Tyson Gay,Asafa Powell,Justin Gatlin,3
Who is known as the 'Queen of Pop'?,Madonna,Beyoncé,Selena,Rihanna,3
Which artist cut off a part of his ear and sent it to a friend?,Vincent van Gogh,Henri Matisse,Claude Monet,Paul Cézanne,4
Which company is known for the slogan 'Just Do It'?,Nike,Adidas,Reebok,Puma,2
Which car manufacturer produces the Corolla?,Toyota,Honda,Ford,Hyundai,2
What is the term for a word that has the opposite meaning of another word?,Antonym,Homonym,Synonym,Acronym,2
Which language uses the Cyrillic alphabet?,Russian,Arabic,Greek,Turkish,3
"If a train travels 80 kilometers in 2 hours, what is its average speed?",40 kilometers per hour,50 kilometers per hour,30 kilometers per hour,60 kilometers per hour,3
Who co-founded Microsoft alongside Bill Gates?,Paul Allen,Tim Cook,Larry Page,Sergey Brin,5
Which film won the Academy Award for Best Picture in 1994?,Forrest Gump,Pulp Fiction,The Shawshank Redemption,The Lion King,3
Who played the character Eleven in the series 'Stranger Things'?,Millie Bobby Brown,Natalia Dyer,Sadie Sink,Winona Ryder,4
Which company manufactured the first commercially available microprocessor?,Intel,AMD,IBM,Texas Instruments,5
What is the most widely used computer operating system in the world?,Microsoft Windows,MacOS Monterey,Ubuntu Linux,Chrome OS,2
Which video game franchise features the character Master Chief?,Halo,Gears of War,Call of Duty,Destiny,3
Which game is known for its block-based world and mining mechanics?,Minecraft,Terraria,Roblox,Stardew Valley,2
What type of pasta is shaped like small rice grains and often used in soups?,Orzo,Fusilli,Farfalle,Penne,4
Which athlete holds the record for the most goals scored in a single NHL season?,Wayne Gretzky,Mario Lemieux,Gordie Howe,Alex Ovechkin,6
What sport is known for the Triple Crown event?,Horse racing,Cricket,Golf,Tennis,3
Which band released the album 'Sgt. Pepper's Lonely Hearts Club Band'?,The Beatles,The Rolling Stones,Pink Floyd,The Who,2
Who is famous for the sculpture known as 'The Thinker'?,Auguste Rodin,Michelangelo,Donatello,Constantin Brâncuși,5
Which brand's logo features a red and white ribbon-like script?,Coca-Cola,Pepsi-Cola,Kellogg's,Campbell's,3
Who founded the online retail company Amazon?,Jeff Bezos,Elon Musk,Mark Zuckerberg,Jack Ma,2
What is an example of a palindrome word?,Racecar,Butter,Circle,Banana,2
Which punctuation mark is used at the end of a question?,Question mark,Full stop,Comma sign,Colon mark,1
What is the next prime number after 17?,19,21,23,27,2
"If a recipe requires 2/3 cup of sugar, how much is needed for double the recipe?",1 1/3 cups,2/3 cups,1 cup,2 cups,6
Who was the British scientist known for his contributions to the theory of evolution by natural selection?,Charles Darwin,Isaac Newton,James Watt,Alan Turing,3
Who was the first female astronaut from the United States to travel into space?,Sally Ride,Mae Jemison,Valentina Tereshkova,Peggy Whitson,4
Which film trilogy is centered around a magical ring and characters like Frodo and Gandalf?,The Lord of the Rings,The Chronicles of Narnia,Harry Potter Series,The Hobbit Trilogy,2
On which animated TV show would you find the character Homer Simpson?,The Simpsons,Family Guy,Rick and Morty,King of the Hill,2
What does Wi-Fi primarily allow devices to do?,Connect wirelessly to networks,Store backup power,Display high-resolution images,Monitor health data,2
Which company is known for producing the Galaxy line of smartphones?,Samsung Electronics,Sony Corporation,Huawei Technologies,Apple Incorporated,3
Which video game features a battle royale mode called 'Warzone'?,Call of Duty,Fortnite,Apex Legends,PUBG Mobile,4
In which video game do players control champions and try to destroy a Nexus?,League of Legends,Heroes of the Storm,Overwatch 2,Dota Underlords,5
Gnocchi is a type of dumpling primarily made from what ingredient?,Potato,Rice,Lentil,Polenta,3
Which athlete famously won eight gold medals at a single Olympic Games?,Michael Phelps,Usain Bolt,Simone Biles,Mark Spitz,4
The Stanley Cup is awarded annually in which sport?,Ice Hockey,Basketball,Rugby Union,Cricket,3
Which singer released the album '1989' in 2014?,Taylor Swift,Lady Gaga,Ariana Grande,Katy Perry,3
Who is the legendary reggae musician known for songs like 'One Love'?,Bob Marley,Peter Tosh,Jimmy Cliff,Bunny Wailer,3
Which artist is associated with making mobile sculptures?,Alexander Calder,Jackson Pollock,Andy Warhol,Georgia O'Keeffe,5
Which company is the primary parent of the brand Audi?,Volkswagen Group,Daimler AG,Renault Group,BMW Group,4
Which search engine is owned by Microsoft?,Bing,DuckDuckGo,Yahoo,Ask Jeeves,2
What is the term for a word formed by rearranging the letters of another word?,Anagram,Palindrome,Homonym,Antonym,4
Which language is most closely related to Italian?,Spanish,Polish,German,Hungarian,4
What is the sum of the angles in any triangle?,180 degrees,360 degrees,90 degrees,120 degrees,2
"If X = 3 and Y = X + 4, what is the value of Y?",7,5,9,12,1
Which film marked the debut of the character Indiana Jones?,Raiders of the Lost Ark,Temple of Doom,Last Crusade,Kingdom of the Crystal Skull,4
Who played the role of Tony Stark in the Marvel Cinematic Universe?,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,3
What technology is used to make phone calls over the internet?,Voice over IP,Circuit Switching,Packet Radio,Analog Relay,5
Which video game is set in the fictional city of Rapture?,BioShock,Half-Life,Deus Ex,Dishonored,6
In which series do players catch creatures called pocket monsters?,Pokémon,Digimon,Yu-Gi-Oh,Monster Hunter,2
"Which country is the origin of tempura, a dish of battered and fried foods?",Japan,China,Thailand,Vietnam,2
What is paneer primarily made from?,Cow's milk,Soybeans,Almonds,Rice flour,4
Who was the first woman to win an Olympic gold medal in gymnastics for the USA?,Mary Lou Retton,Nadia Comaneci,Simone Biles,Shannon Miller,7
Which artist is famous for the sculpture 'Bird in Space'?,Constantin Brancusi,Henry Moore,Alberto Giacometti,Auguste Rodin,7
Which art style is associated with artists like Georges Braque and Pablo Picasso?,Cubism,Surrealism,Impressionism,Romanticism,3
Which company is the parent of the brand Dove soap?,Unilever,Procter & Gamble,Johnson & Johnson,Colgate-Palmolive,5
Which English word means 'fear of confined spaces'?,Claustrophobia,Xenophobia,Agoraphobia,Acrophobia,4
"What is the grammatical term for a word that modifies a verb, adjective, or another adverb?",Adverb,Conjunction,Pronoun,Noun,3
"If a number is divisible by 6 and by 9, it must be divisible by which smallest number?",18,12,24,15,6
Who was the first African American president of the United States?,Barack Obama,Colin Powell,Jesse Jackson,Thurgood Marshall,2
Which film won the Academy Award for Best Picture in 2021?,Nomadland,Minari,The Father,Judas and the Black Messiah,6
"Which animated TV series features the character Aang, a young Avatar?",Avatar: The Last Airbender,The Dragon Prince,Gravity Falls,The Legend of Korra,4
What technology is used to store large amounts of data on optical discs?,Blu-ray Disc,CompactFlash,Solid State Drive,Zip Disk,5
Which programming language was created by Guido van Rossum and named after a comedy group?,Python,Java,Ruby,Perl,3
Which game company created the series 'Uncharted'?,Naughty Dog,Ubisoft,Capcom,Bungie,4
In which game is the main objective to build civilizations and achieve victory through science or domination?,Civilization VI,Age of Empires IV,StarCraft II,Europa Universalis IV,5
Which French soup is traditionally made with onions and topped with melted cheese?,French onion soup,Bouillabaisse,Vichyssoise,Pot-au-feu,3
Which type of pasta looks like small tubes and is often used in baked dishes?,Ziti,Tagliatelle,Farfalle,Conchiglie,4
What term is used when a batter hits a home run with the bases loaded in baseball?,Grand slam,Triple play,Double steal,Sacrifice fly,3
Which country won the FIFA Women's World Cup in 2019?,United States,Germany,Netherlands,Japan,3
Who composed the classical piece 'The Four Seasons'?,Antonio Vivaldi,Johann Pachelbel,Franz Liszt,Felix Mendelssohn,3
Which band released the song 'Hotel California' in 1976?,Eagles,Journey,Fleetwood Mac,The Doors,2
Which modern art movement is closely linked with Salvador Dalí?,Surrealism,Fauvism,Cubism,Impressionism,4
Which company is famous for its sportswear logo resembling a blue trefoil?,Adidas,Reebok,Fila,Puma,2
What coffee brand is known for its green siren logo?,Starbucks,Peet's Coffee,Costa Coffee,Caribou Coffee,2
What is the term for a word that has the same spelling but different meanings?,Homograph,Homophone,Antonym,Synonym,5
Which official language uses the most characters in its writing system?,Chinese,Greek,Hebrew,Cyrillic,6
What is the square root of 121?,11,12,13,14,3
"If a triangle has side lengths of 3, 4, and 5, what is its area?",6,9,8,10,6
Who was the first person to win an Academy Award for Best Actor twice?,Spencer Tracy,Clark Gable,Gary Cooper,James Stewart,5
Which philanthropist is known for founding the Carnegie libraries?,Andrew Carnegie,John D. Rockefeller,J.P. Morgan,Cornelius Vanderbilt,4
Which 1999 film was directed by M. Night Shyamalan and features a boy who sees ghosts?,The Sixth Sense,Unbreakable,The Others,Signs,4
Which TV series is set at the fictional Dunder Mifflin Paper Company?,The Office,Parks and Recreation,Brooklyn Nine-Nine,Community,3
What does HTTP stand for in website addresses?,HyperText Transfer Protocol,HyperTerminal Text Platform,High-Tech Transmission Process,Host Terminal Type Protocol,4
Which company developed the PlayStation gaming console?,Sony Computer Entertainment,Nintendo Entertainment System,Sega Holdings Corporation,Microsoft Interactive Studios,4
Which video game features an archaeologist named Lara Croft?,Tomb Raider,Uncharted,Assassin's Creed,Far Cry,3
The main character of 'Half-Life' is known by what name?,Gordon Freeman,Jack Mitchell,Marcus Fenix,Sam Fisher,6
Which beverage is made primarily from fermented grapes?,Wine,Mead,Cider,Beer,2
Which sport awards the Vince Lombardi Trophy?,American Football,Baseball,Basketball,Ice Hockey,4
Who performed the 2016 hit song 'Can't Stop the Feeling!'?,Justin Timberlake,Bruno Mars,Shawn Mendes,Ed Sheeran,3
Which musical instrument has 88 keys and is played by pressing them with the fingers?,Piano,Harp,Organ,Cello,2
Which company is known for its slogan 'Think Different'?,Apple Inc.,IBM Corporation,Google LLC,Intel Corp.,3
What automobile brand manufactures the Civic model?,Honda,Toyota,Nissan,Mazda,3
What is the word for a word that has the same meaning as another?,Synonym,Homograph,Antonym,Metaphor,3
What is the value of 7 squared?,49,56,42,36,2
What is half of one-fifth?,One-tenth,One-fifth,One-fourth,One-eighth,5
Who is the founder of SpaceX?,Elon Musk,Jeff Bezos,Tim Cook,Sundar Pichai,2
Which film features a character named Neo battling agents in a digital world?,The Matrix,Blade Runner,Inception,Minority Report,3
Who starred as the T-800 in the original 'Terminator' movie?,Arnold Schwarzenegger,Sylvester Stallone,Bruce Willis,Jean-Claude Van Damme,3
What technology is primarily used for contactless payments by tapping a card?,NFC,RFID,Bluetooth,Infrared,5
Which programming language is often associated with Android app development?,Java,Swift,Kotlin,C#,6
In which game do players guide a yellow character eating pellets and ghosts in a maze?,Pac-Man,Tetris,Space Invaders,Frogger,2
Which type of nut is commonly used in making marzipan?,Almond,Hazelnut,Walnut,Pistachio,5
How many players are there on a standard volleyball team on the court?,Six,Five,Seven,Eight,2
Which Olympic event combines cross-country skiing and rifle shooting?,Biathlon,Pentathlon,Decathlon,Triathlon,4
Which band is known for hits like 'With or Without You' and 'Beautiful Day'?,U2,Coldplay,The Police,Oasis,3
Which artist is famous for the soft sculpture 'Soft Toilet'?,Claes Oldenburg,Andy Warhol,Marcel Duchamp,Roy Lichtenstein,7
Which multinational company is known for its blue oval logo and makes the Mustang?,Ford,Honda,Fiat,Toyota,2
What is the term for a word that sounds the same as another but has different meaning?,Homophone,Homonym,Antonym,Synonym,4
Which language is primarily spoken in the Netherlands?,Dutch,Danish,German,Swedish,3
What is the result of multiplying 8 by 12?,96,108,84,112,2
"If a rectangle has a length of 10 and a width of 4, what is its area?",40,14,36,44,3
Who is credited as the creator of the modern Olympic Games?,Pierre de Coubertin,Baron von Steuben,Thomas Bach,Avery Brundage,6
Which 1994 film features two hitmen named Vincent Vega and Jules Winnfield?,Pulp Fiction,Heat Vision,Fight Club,Seven Seconds,4
Which animated TV show features a young genius named Dexter with a secret laboratory?,Dexter's Laboratory,Jimmy Neutron,Courage the Cowardly Dog,Fairly OddParents,3
What does the acronym GPU stand for in computing?,Graphics Processing Unit,Global Power Utility,General Program Usage,Giga Processor Unit,4
Which company developed the programming language Java?,Sun Microsystems,IBM Corporation,Oracle Systems,Microsoft Corp,6
Which video game series features a protagonist named Samus Aran?,Metroid,Halo,Mass Effect,Star Fox,4
Which 2015 game is set in the monster-filled region of The Continent and features Geralt?,The Witcher 3,Bloodborne,Dragon Age,Dark Souls III,5
Which beverage is traditionally made by fermenting barley and flavored with hops?,Beer,Brandy,Cider,Gin,2
"In basketball, how many points is a shot from behind the arc worth?",Three points,Two points,Four points,Six points,3
Which classical composer wrote 'Swan Lake'?,Tchaikovsky,Mozart,Bach,Chopin,4
Which company owns the sports brand Reebok?,Authentic Brands,"Nike, Inc.",VF Corporation,Delta Apparel,7
What company is most associated with the Big Mac hamburger?,McDonald's,Burger King,Wendy's,Carl's Jr.,2
What Latin phrase means 'blank slate'?,Tabula rasa,Terra firma,Aqua vitae,Prima facie,5
"What is the next number in the sequence: 2, 4, 8, 16, ?",32,24,20,18,2
"In the periodic table, which element has the highest electrical conductivity at standard temperature and pressure?",Silver (Ag),Copper (Cu),Gold (Au),Aluminum (Al),8
Who was the primary author of the influential 18th-century work 'The Wealth of Nations'?,Adam Smith,David Ricardo,John Locke,Thomas Malthus,8
"Which Shakespeare play features characters named Goneril, Regan, and Cordelia?",King Lear,Othello,Hamlet,Macbeth,8
Who composed the opera 'Die Meistersinger von Nürnberg'?,Richard Wagner,Giacomo Puccini,Richard Strauss,Franz Lehár,8
Which branch of mathematics studies the properties of space that are preserved under continuous transformations?,Topology,Algebra,Trigonometry,Calculus,8
Which Norse god is the father of Thor in mythology?,Odin,Loki,Baldur,Freyr,8
Who was the first person to perform a successful human heart transplant?,Christiaan Barnard,William DeVries,René Favaloro,Norman Shumway,9
Which Czech author wrote 'The Trial' and is known for themes of existential anxiety?,Franz Kafka,Milan Kundera,Bohumil Hrabal,Jaroslav Hašek,9
"Which physicist formulated the uncertainty principle, a fundamental theory in quantum mechanics?",Werner Heisenberg,Niels Bohr,Paul Dirac,Erwin Schrödinger,9
Which chemical process is used to convert unsaturated fats to saturated fats by the addition of hydrogen?,Hydrogenation,Esterification,Oxidation,Transesterification,9
Who played Salieri in the 1984 film 'Amadeus'?,F. Murray Abraham,Tom Hulce,Sam Waterston,Jonathan Pryce,9
Who invented the movable-type printing press in Europe?,Johannes Gutenberg,Aldus Manutius,William Caxton,Laurens Janszoon Coster,10
Which mathematician is credited with founding set theory in the late 19th century?,Georg Cantor,Henri Poincaré,Bernhard Riemann,Évariste Galois,10
Which 20th-century painter created the triptych 'Three Studies for Figures at the Base of a Crucifixion'?,Francis Bacon,Lucian Freud,Mark Rothko,Willem de Kooning,10
In which year was the first Nobel Prize in Physics awarded?,1901,1895,1910,1921,10
Which Italian company is known for producing the iconic Vespa scooter?,Piaggio,Lambretta,Aprilia,Ducati,10
What is the French culinary term for a bundle of herbs tied together and used to flavor soups and stews?,Bouquet garni,Mirepoix,Roux blanc,Chiffonade,10
Which physicist discovered cosmic microwave background radiation alongside Arno Penzias?,Robert Wilson,Richard Feynman,Murray Gell-Mann,Freeman Dyson,8
"Which ancient Greek playwright wrote 'The Persians', one of the earliest surviving plays?",Aeschylus,Sophocles,Euripides,Aristophanes,8
What is the name of the weak force-carrying boson discovered at CERN in 1983?,W boson,Z boson,Higgs boson,Photon,8
Who was the first U.S. Secretary of the Treasury to found a national bank?,Alexander Hamilton,Thomas Jefferson,Henry Knox,James Madison,8
Which artist painted 'The Garden of Earthly Delights'?,Hieronymus Bosch,Pieter Bruegel,Jan van Eyck,Albrecht Dürer,8
Who formulated the literary theory of 'the intentional fallacy' in 1946?,W.K. Wimsatt,I.A. Richards,T.S. Eliot,Cleanth Brooks,8
Which enzyme is responsible for synthesizing the RNA primer during DNA replication in E. coli?,Primase,Ligase,Helicase,Topoisomerase,9
Who sang the original 1967 hit 'A Whiter Shade of Pale'?,Procol Harum,The Moody Blues,The Zombies,The Animals,9
Which film marked the first collaboration between director Werner Herzog and actor Klaus Kinski?,"Aguirre, the Wrath of God",Fitzcarraldo,Nosferatu the Vampyre,Woyzeck,9
Which 20th-century mathematician proved Fermat’s Last Theorem in 1994?,Andrew Wiles,Grigori Perelman,Jean-Pierre Serre,Terence Tao,9
Which novel features the enigmatic character Dean Moriarty?,On the Road,The Dharma Bums,Naked Lunch,Catcher in the Rye,9
What medical condition is also known as Lou Gehrig’s disease?,Amyotrophic lateral sclerosis,Huntington’s disease,Multiple sclerosis,Parkinson’s disease,9
Which South American civilization constructed the city of Tiwanaku near Lake Titicaca?,Tiwanaku,Chavin,Nazca,Wari,10
Who composed the full ballet 'Appalachian Spring'?,Aaron Copland,Leonard Bernstein,Samuel Barber,George Gershwin,10
What was the first commercially available programmable general-purpose computer?,UNIVAC I,ENIAC,IBM 701,Colossus Mark 2,10
Which mythological monster was slain by Bellerophon with the help of Pegasus?,Chimera,Cerberus,Hydra,Minotaur,10
"In the International Phonetic Alphabet, what does the symbol [ʃ] represent?",Voiceless postalveolar fricative,Voiced alveolar fricative,Voiceless velar plosive,Voiced dental stop,10
Who is credited with inventing the Lie group in mathematics?,Sophus Lie,Évariste Galois,Joseph Fourier,Henri Poincaré,10
Which physicist demonstrated the wave nature of electrons through experiments with nickel crystals in 1927?,Clinton Davisson,Chien-Shiung Wu,Chadwick Rutherford,Ernest Lawrence,8
"Who wrote the novel 'The Master and Margarita', which blends satire, fantasy, and biblical themes in Soviet Russia?",Mikhail Bulgakov,Andrei Platonov,Boris Pasternak,Vasily Grossman,8
"In the context of network protocols, what does the acronym OSPF stand for?",Open Shortest Path First,Object Sharing Protocol Framework,Optimized Secure Packet Forwarding,Outer Service Path Function,8
"Which German composer wrote the 1850 opera 'Lohengrin', featuring the 'Bridal Chorus'?",Richard Wagner,Carl Maria von Weber,Gustav Mahler,Franz Schubert,8
What is the mathematical name for a solid with exactly ten faces?,Decahedron,Hexahedron,Dodecahedron,Tetrahedron,8
Which South African athlete set a still-standing 800m men's world record at the 2012 London Olympics?,David Rudisha,Caster Semenya,Wilson Kipketer,Nijel Amos,8
Which Norwegian painter created the work 'The Dance of Life' in 1899?,Edvard Munch,Harald Sohlberg,Christian Krohg,Gustav Vigeland,9
Which Greek mythological figure solved the riddle of the Sphinx and became king of Thebes?,Oedipus,Perseus,Theseus,Jason,9
"Who is the author of the 1987 cyberpunk novel 'Count Zero', which is the second entry in the Sprawl trilogy?",William Gibson,Neal Stephenson,Bruce Sterling,Pat Cadigan,9
What enzyme is responsible for converting fibrinogen to fibrin during blood coagulation?,Thrombin,Renin,Pepsin,Trypsin,9
Which American artist painted the large mural 'Detroit Industry' in the 1930s?,Diego Rivera,Jackson Pollock,Edward Hopper,Thomas Hart Benton,9
"In formal logic, what is the name for a statement that is always true regardless of its variable values?",Tautology,Contradiction,Paradox,Biconditional,9
Which novel by J. M. Coetzee features the character Magistrate during times of imperial expansion and tension?,Waiting for the Barbarians,Disgrace,Life & Times of Michael K,The Childhood of Jesus,10
Which mathematician introduced the concept of the 'game tree' central to combinatorial game theory?,Ernst Zermelo,John von Neumann,Emmy Noether,Alonzo Church,10
Who composed the 1948 orchestral suite 'The Young Person’s Guide to the Orchestra'?,Benjamin Britten,Aaron Copland,Leonard Bernstein,Edward Elgar,10
"Which Japanese film director made 'Ugetsu', a 1953 masterpiece of postwar cinema blending ghostly and historical elements?",Kenji Mizoguchi,Yasujiro Ozu,Akira Kurosawa,Masaki Kobayashi,10
"What is the term for the process by which plants convert nitrate to atmospheric nitrogen gas, releasing it from the soil?",Denitrification,Nitrogen fixation,Ammonification,Nitrification,10
"Which 20th-century chess grandmaster was World Champion from 1969 to 1972, known for their positional style?",Boris Spassky,Tigran Petrosian,Viktor Korchnoi,Mikhail Tal,10
Which Roman emperor was responsible for constructing the massive defensive fortification known as the Antonine Wall in Scotland?,Antoninus Pius,Hadrian,Marcus Aurelius,Trajan,8
"In the OSI reference model, which layer is primarily responsible for routing packets between networks?",Network layer,Transport layer,Session layer,Data Link layer,8
"Who won the men's singles title at the 1985 Wimbledon Championships, defeating Kevin Curren in the final?",Boris Becker,Ivan Lendl,Stefan Edberg,Pat Cash,8
Which chemical element has the highest melting point of all pure elements?,Tungsten,Osmium,Platinum,Molybdenum,8
"Which painter is renowned for the work 'American Gothic', depicting a farmer and his daughter in front of a house?",Grant Wood,Edward Hopper,Norman Rockwell,Georgia O’Keeffe,8
"What is the culinary term for the outer, colored part of citrus fruit peel, often used as flavoring?",Zest,Pith,Pulp,Rind,9
Who directed the 1963 historical epic film 'Cleopatra' starring Elizabeth Taylor and Richard Burton?,Joseph L. Mankiewicz,William Wyler,David Lean,George Stevens,9
Which protease enzyme initiates protein digestion in the human stomach?,Pepsin,Trypsin,Chymotrypsin,Amylase,9
"Which 20th-century composer created 'Music for 18 Musicians', a seminal minimalist work?",Steve Reich,Philip Glass,John Adams,Terry Riley,9
Who is the mythical Greek figure punished by being forced to roll a boulder up a hill for eternity?,Sisyphus,Tantalus,Prometheus,Ixion,9
What is the term for a corporate acquisition in which a smaller firm purchases a larger one?,Reverse takeover,Hostile merger,Tender offer,Joint venture,10
"Who is credited as the founder of probability theory, having corresponded with Fermat on the subject in the 17th century?",Blaise Pascal,Pierre Laplace,Jacques Bernoulli,René Descartes,10
Which enzyme catalyzes the conversion of pyruvate to acetyl-CoA in cellular respiration?,Pyruvate dehydrogenase,Lactate dehydrogenase,Citrate synthase,Succinate dehydrogenase,10
What chemical element is primarily obtained from the ore cassiterite?,Tin,Lead,Zinc,Nickel,8
"In classical mechanics, what is the SI unit for angular momentum?",Kilogram meter squared per second,Newton meter per second,Joule per second squared,Watt per meter second,8
Who wrote the 1877 Russian novel 'Anna Karenina'?,Leo Tolstoy,Fyodor Dostoevsky,Alexander Pushkin,Anton Chekhov,8
Which mathematical constant is approximately equal to 2.71828?,Euler's number,The golden ratio,Euler-Mascheroni constant,Planck's constant,8
"Which protein is the primary component of hair, nails, and feathers?",Keratin,Collagen,Elastin,Myosin,9
Who directed the surrealist film 'Un Chien Andalou' in 1929 with Salvador Dalí?,Luis Buñuel,Federico Fellini,Jean Vigo,Jean Cocteau,9
"In electronics, what does the abbreviation 'LED' stand for?",Light Emitting Diode,Laser Enhanced Display,Low Energy Device,Linear Electric Detector,9
"Who was the first African to win the Nobel Peace Prize, in 1960?",Albert Lutuli,Kofi Annan,Desmond Tutu,Wangari Maathai,9
Which 20th-century British composer wrote the 'Enigma Variations'?,Edward Elgar,Gustav Holst,Benjamin Britten,Michael Tippett,9
Who invented the process for creating stainless steel in the early 20th century?,Harry Brearley,Charles Hall,H.C. Sorby,Leo Baekeland,10
Which ancient Indian text is considered the earliest treatise on statecraft and economic policy?,Arthashastra,Mahabharata,Bhagavad Gita,Rigveda,10
What is the term for the range of frequencies that a radio receiver can process?,Bandwidth,Latency,Resonance,Impedance,10
Who was the Brazilian architect credited with designing much of Brasília’s modernist structures?,Oscar Niemeyer,Roberto Burle Marx,Lina Bo Bardi,Paulo Mendes da Rocha,10
Which enzyme catalyzes the hydrolysis of lactose into glucose and galactose?,Lactase,Amylase,Maltase,Pepsin,10
